[2026-09-22 15:07:18.331] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:0d0934dafcd989edd07c49c9:db9ea426bd54e3fbc15ae72e4bb12567:3d2febfb7036a1bea9d6fc3addc64a96c3043a15d11bade6924946ca04ab2e0e]"
[2026-09-22 15:07:18.450] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:655c75b5471723976fb4a88c:f644f44744466015d93524a5e043b446:8fc8d3d25d87689509e8a523bc25984c1a38c1a976088fe74f3905f043d5a5d4]"
[2026-09-22 15:07:18.562] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:07699fbf72454140dd01c9a4:7707b040b3a6977e560a3bd8919c791b:c7f0d4da5ae32c89491fb4606df545fc411da3d78bcf1845f90011be07108af1]"
[2026-09-22 15:07:18.677] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:684b17536b384842ada958a3:a3949fc46c1d50715e845ae17b8be424:a02e56570931fb79189cf6156a61b319c6edab2614bffebbda1bcf16e253457c]"
[2026-09-22 15:07:18.783] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:8dfc4fbcc104d954a32d6e3b:953f5b10912e18aed8ba9aa85bcf00f1:f7ea887e06c5a157e2c7a45550cefb77a43978a2565611e4c2d08558fc81e111]"
[2026-09-22 15:07:18.888] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:f969a8bb760bad371970b522:b5fb1059ee441fd4f0b522f45f0701e2:e903dddeb8b410c434856f5048b41a76c715cdaa053ef4f9bf0a6a83d7fe4bed]"
[2026-09-22 15:07:18.996] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:39331fd2c668a2288a1bfeae:b0818161109f6f1be1f162f4217549a2:aa099a2f5b4e8bee43d843021aae9dbea910dc37638639b22bf8e9017005896a]"
[2026-09-22 15:07:19.118] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:1e7833d2c71310ebf41d6877:3c959e0b470f53ac9192111e5ed7cf00:ddffde9d6aada629dacb791d2df04b77d6d7de5d5c2e5f3aeee1c81651c6671a]"
[2026-09-22 15:07:19.224] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:0c206271bb38749ad803dac1:d7d9c5813e2a1e739fd36bf867054ab6:6a409f53c191246af66f44c4085f660a82b983862409f598b16f57b68a627f53]"
[2026-09-22 15:07:19.345] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:58a81788a20d38181982f4cc:72638ff5641a537d0b09855e09d921d7:daaad5c33661494116a65f907281cab2d1b2cad2516f5cfb1ce894e71e8bfef3]"
[2026-09-22 15:07:19.446] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:298fa84b0fc5b9d642434456:21083498c88fc628fd230356528f430a:f363228cf49a8912da42497e1ea21869f26d334c1cbfa69e29f4ad8cf62f7095]"
